ID,Brand,CPUrating,RAM,GPUrating,,Concat,,,,,,,,,,,
422,4,1,8,3,,"422,4,1,8,3",,,,,,,,,,,
423,4,3,4,5,,"423,4,3,4,5",,,,,,,,,,,
424,3,1,4,4,,"424,3,1,4,4",,,,,,,,,,,
425,2,4,4,1,,"425,2,4,4,1",,,,,,,,,,,
426,3,1,4,5,,"426,3,1,4,5",,,,,,,,,,,
427,1,4,16,1,,"427,1,4,16,1",,,,,,,,,,,
428,1,1,16,1,,"428,1,1,16,1",,,,,,,,,,,
429,2,2,8,4,,"429,2,2,8,4",,,,,,,,,,,
430,1,5,8,4,,"430,1,5,8,4",,,,,,,,,,,
431,2,4,8,3,,"431,2,4,8,3",,,,,,,,,,,
432,4,5,8,2,,"432,4,5,8,2",,,,,,,,,,,
433,5,2,4,3,,"433,5,2,4,3",,,,,,,,,,,
434,4,4,16,1,,"434,4,4,16,1",,,,,,,,,,,
435,4,1,8,3,,"435,4,1,8,3",,,,,,,,,,,
436,1,4,4,5,,"436,1,4,4,5",,,,,,,,,,,
437,4,3,4,3,,"437,4,3,4,3",,,,,,,,,,,
438,2,2,4,4,,"438,2,2,4,4",,,,,,,,,,,
439,2,5,4,3,,"439,2,5,4,3",,,,,,,,,,,
440,3,1,16,1,,"440,3,1,16,1",,,,,,,,,,,
441,2,1,4,2,,"441,2,1,4,2",,,,,,,,,,,
442,2,2,4,1,,"442,2,2,4,1",,,,,,,,,,,
443,3,2,8,5,,"443,3,2,8,5",,,,,,,,,,,
444,4,5,4,4,,"444,4,5,4,4",,,,,,,,,,,
445,1,4,8,5,,"445,1,4,8,5",,,,,,,,,,,
446,3,4,4,1,,"446,3,4,4,1",,,,,,,,,,,
447,5,1,4,1,,"447,5,1,4,1",,,,,,,,,,,
448,5,1,4,1,,"448,5,1,4,1",,,,,,,,,,,
449,5,1,4,1,,"449,5,1,4,1",,,,,,,,,,,
450,4,1,4,1,,"450,4,1,4,1",,,,,,,,,,,
451,2,1,4,1,,"451,2,1,4,1",,,,,,,,,,,
452,5,1,4,1,,"452,5,1,4,1",,,,,,,,,,,
453,3,1,4,1,,"453,3,1,4,1",,,,,,,,,,,
454,1,1,4,1,,"454,1,1,4,1",,,,,,,,,,,
455,2,1,4,1,,"455,2,1,4,1",,,,,,,,,,,
456,1,1,4,1,,"456,1,1,4,1",,,,,,,,,,,
457,4,1,4,1,,"457,4,1,4,1",,,,,,,,,,,
458,1,1,4,1,,"458,1,1,4,1",,,,,,,,,,,
459,4,1,4,1,,"459,4,1,4,1",,,,,,,,,,,
460,3,1,4,1,,"460,3,1,4,1",,,,,,,,,,,
461,5,1,4,1,,"461,5,1,4,1",,,,,,,,,,,
462,5,1,4,1,,"462,5,1,4,1",,,,,,,,,,,
463,2,1,4,1,,"463,2,1,4,1",,,,,,,,,,,
464,4,1,4,1,,"464,4,1,4,1",,,,,,,,,,,
465,2,1,4,1,,"465,2,1,4,1",,,,,,,,,,,
466,4,1,4,1,,"466,4,1,4,1",,,,,,,,,,,
467,3,1,4,1,,"467,3,1,4,1",,,,,,,,,,,
468,4,1,4,1,,"468,4,1,4,1",,,,,,,,,,,
469,1,1,4,1,,"469,1,1,4,1",,,,,,,,,,,
470,3,1,4,1,,"470,3,1,4,1",,,,,,,,,,,
471,5,1,4,1,,"471,5,1,4,1",,,,,,,,,,,
472,3,1,4,1,,"472,3,1,4,1",,,,,,,,,,,
473,4,1,4,1,,"473,4,1,4,1",,,,,,,,,,,
474,2,1,4,1,,"474,2,1,4,1",,,,,,,,,,,
475,4,1,4,1,,"475,4,1,4,1",,,,,,,,,,,
476,5,1,4,1,,"476,5,1,4,1",,,,,,,,,,,
477,4,1,4,1,,"477,4,1,4,1",,,,,,,,,,,
478,2,1,4,1,,"478,2,1,4,1",,,,,,,,,,,
479,2,1,4,1,,"479,2,1,4,1",,,,,,,,,,,
480,5,1,4,1,,"480,5,1,4,1",,,,,,,,,,,
481,2,1,4,1,,"481,2,1,4,1",,,,,,,,,,,
482,5,1,4,1,,"482,5,1,4,1",,,,,,,,,,,
483,3,1,4,1,,"483,3,1,4,1",,,,,,,,,,,
484,2,1,4,1,,"484,2,1,4,1",,,,,,,,,,,
485,4,1,4,1,,"485,4,1,4,1",,,,,,,,,,,
486,2,1,4,1,,"486,2,1,4,1",,,,,,,,,,,
487,5,1,4,1,,"487,5,1,4,1",,,,,,,,,,,
488,4,1,4,1,,"488,4,1,4,1",,,,,,,,,,,
489,2,1,4,1,,"489,2,1,4,1",,,,,,,,,,,
490,3,1,4,1,,"490,3,1,4,1",,,,,,,,,,,
491,5,1,4,1,,"491,5,1,4,1",,,,,,,,,,,
492,4,1,4,1,,"492,4,1,4,1",,,,,,,,,,,
493,3,1,4,1,,"493,3,1,4,1",,,,,,,,,,,
494,3,1,4,1,,"494,3,1,4,1",,,,,,,,,,,
495,1,1,4,1,,"495,1,1,4,1",,,,,,,,,,,
496,2,1,4,1,,"496,2,1,4,1",,,,,,,,,,,
497,4,1,4,1,,"497,4,1,4,1",,,,,,,,,,,
498,3,1,4,1,,"498,3,1,4,1",,,,,,,,Brand,CPUrating,,GPURating
499,5,1,4,1,,"499,5,1,4,1",,,,,,,5,111,91,,96
500,1,1,4,1,,"500,1,1,4,1",,,,,,,4,88,91,,87
,,,,,,,,,,,,,3,104,91,,72
,,,,,,,,,,,,,2,113,88,,95
,,,,,,,,,,,,,1,84,139,,150
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RAM,
,,,,,,,,,,,,,,,4GB,159,
,,,,,,,,,,,,,,,8GB,163,
,,,,,,,,,,,,,,,16GB,178,
